rainfall,vegetation,slope,elevation,earthquake_intensity,moisture_retention,landslide,terrain_hills,terrain_mountains,terrain_plains,soil_type_clay,soil_type_rock,soil_type_sand
168.8348367955877,0.392419315844441,29.28237394554176,3568.3913870653637,3.6876623294190947,0.6449155029546274,1,False,True,False,True,False,False
74.65199056379831,0.5686554770756138,9.808261588801631,237.9270430984679,0.9357357166101157,0.24957890870681085,0,False,False,True,False,False,True
166.67057209980186,0.4952602551358367,41.202625863353084,3687.7951113951176,2.7055379701067555,0.4604664686392349,0,False,True,False,False,True,False
165.838731896496,0.36757616684017513,26.132366090326936,3140.964648461918,2.4101184260573545,0.5626876472713238,1,False,True,False,False,True,False
148.97564134093346,0.6523095123038478,2.240170657192575,277.81130122006385,0.35184044340133513,0.6724720795199859,0,False,False,True,False,False,True
85.18050064103525,0.7189509372764809,8.093407009709301,302.8329696241067,2.9555236652720245,0.2014226326436626,0,False,False,True,True,False,False
215.15422472118266,0.43268260420945215,36.16104804491372,3046.9301926025128,4.503554629183356,0.746564565675366,1,False,True,False,False,True,False
102.82389932969186,0.3645872226215552,16.444342958452662,778.9380760734767,1.3981860512351005,0.25196275857665473,0,True,False,False,True,False,False
228.54008207289178,0.3461161575912042,31.33960292490923,2677.3751469312865,2.975044902193079,0.7215154046176212,0,False,True,False,False,True,False
267.1379034579136,0.35581929125950706,44.78658852223798,3006.1745767586376,2.3050357150269747,0.9204602406870717,1,False,True,False,False,True,False
163.99071701672548,0.17588770492555103,49.09557902196184,1837.7003655644016,6.447883091652461,0.583070999418508,1,False,True,False,True,False,False
264.87435588523647,0.28905038489372537,25.135123091816748,1503.3656773914092,2.7169768500544627,0.8946317969864022,0,False,True,False,False,True,False
96.40666894045046,0.7305703392143483,9.544495179255772,229.52782996097255,1.9567060593973222,0.3820040552041783,0,False,False,True,False,False,True
247.56378732357965,0.4506916427798451,30.308349357172283,1805.0185339422226,2.5672040855195837,0.8706517110505344,1,False,True,False,True,False,False
122.01428813802752,0.36319321120283354,18.912127941346863,911.3745714125894,1.1113756303096536,0.37392512280416573,0,True,False,False,True,False,False
130.6757563789126,0.7887277335911929,8.736125292053952,293.0853892307738,2.0185414004656344,0.5079195928610292,0,False,False,True,True,False,False
159.11188062661768,0.4989420877785115,19.501176103631906,1305.525913576057,4.223915603470335,0.43369027298663176,0,True,False,False,True,False,False
119.90812292449435,0.5733481641481699,10.37026235836877,862.753600399152,4.3592814088139535,0.37384743925292063,0,True,False,False,False,False,True
196.0247617220295,0.7257971596521096,22.945135691008403,650.6874870008338,4.965814271371168,0.6069777923395752,0,True,False,False,False,True,False
194.17236181899855,0.4539431910081247,24.916229013383102,1105.4812505259454,4.350123336304223,0.6844736864817548,1,True,False,False,True,False,False
108.11954237209565,0.44083363793004815,4.029084444112306,402.53370783315466,2.7728612123839835,0.12268476383251786,0,False,False,True,False,False,True
62.777465278999045,0.7423130971324832,5.53893226481935,116.98796370261326,2.7081165313360684,0.16931597584607533,0,False,False,True,True,False,False
115.28433681374572,0.7621271373015579,11.894067056615977,1313.434482324264,2.8426793193339566,0.4299422084501448,0,True,False,False,True,False,False
138.19144496628712,0.44412578858368423,23.41397677384621,1144.902905292356,2.1951314842170064,0.7076355323627206,0,True,False,False,False,True,False
51.363402390582145,0.47410873104966234,4.581812581813107,321.74267248654763,0.2762962625987694,0.1761845103477932,0,False,False,True,True,False,False
139.4404388648507,0.6765559855291858,8.588851366385516,459.5151558949391,2.4367743629710255,0.3565965861870304,0,False,False,True,False,False,True
116.62678614790384,0.5949498731455403,9.910684251113317,190.29108953565097,1.4401421319302568,0.45619448336123136,0,False,False,True,False,False,True
162.15579156975852,0.3023625319148293,45.743071658040606,3941.9859320689657,2.4382491809732665,0.4724929570824861,1,False,True,False,False,True,False
283.6977309540448,0.3382306356196998,36.595356243192,2300.06829140598,3.5915204734617365,0.80986916930657,1,False,True,False,False,True,False
278.9334595376905,0.28233533811716827,39.80753427655239,3236.6344320254384,5.6925293925525935,0.94804607796428,1,False,True,False,False,True,False
114.34743973024678,0.7020478348167964,18.58964279673377,756.743496309758,2.703750833867758,0.5134174124680657,0,True,False,False,False,True,False
163.87506569084456,0.48374941529535276,44.508696568503964,3184.2543338553915,3.5376489774522817,0.46607604589856844,0,False,True,False,False,True,False
195.581022366845,0.5755254766474662,13.488119974312825,726.033196788652,3.094254318119423,0.6307953076750754,0,True,False,False,False,False,True
135.76907806297874,0.6259504327812303,14.167677448098482,1271.5120619984878,4.329668733641011,0.5218484078413024,0,True,False,False,False,True,False
221.12464444079797,0.24783251963580957,26.66734703513622,1620.2307760300887,6.662722946762255,0.8393535830063702,1,False,True,False,False,True,False
